X;DistCode;SerialNum;HousMembers;Age;NumbRooms;FloorSpace;Conso;ElecYN;Loc1;Loc2;Loc3;Loc4;Loc5;Loc6;ElecCookYN;Poele;LaveLinge;Clim;LaveVaisselle;Frigo;Freezer;FrigoFreezer;Micronde;Aspirateur;FerRepasser;Antenne;TV;VideoRecord;VideoCamera;CD;Radio;PC;income
4823;247;2;1;1986;2;36;326;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;10452,10333
4824;247;3;3;1986;2;51;701;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;1;1;0;1;1;0;21067,94667
4827;247;4;3;1987;3;51;601;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;1;1;0;28624,02575
4830;247;5;1;1986;1;33;251;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5167,672774
4831;247;6;1;1986;2;32;501;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;18975,5655
4832;247;7;5;1987;3;70;2001;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;43513,42204
4837;247;8;4;1987;2;69;901;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;24550,30403
4841;247;9;3;1986;2;62;901;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;9654,79845
4844;248;1;2;1976;3;86;701;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;18431,95725
4846;248;10;1;1900;2;40;301;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;9252,75375
4847;248;11;2;1962;2;64;1101;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;1972,68525
4849;248;2;3;1962;3;65;1001;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;1;1;1;0;0;0;1;21379,92425
4852;248;3;4;1968;3;100;801;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;1;0;0;1;0;1;23681,395
4856;248;4;2;1927;3;80;401;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;11846,87625
4858;248;5;1;1900;2;10;1001;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;15557,919
4859;248;6;1;1900;3;50;301;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;7174,75125
4860;248;7;2;1939;3;70;401;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;10829,97825
4862;248;8;5;1969;2;40;1001;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;17553,25625
4867;248;9;4;1957;5;150;1501;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;34233,19125
4871;249;1;2;1982;2;30;351;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;17622,22323
4873;249;10;2;1997;6;120;751;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;21365,97431
4875;249;11;3;1989;2;58;1501;1;0;0;1;0;0;0;1;1;1;0;0;1;1;1;0;1;1;0;1;0;0;0;1;0;19612,84475
4878;249;2;4;1987;5;100;1201;1;0;0;1;0;0;0;0;2;1;0;0;1;2;0;1;1;1;0;2;0;0;0;0;1;66741,41675
4882;249;3;5;1990;3;100;531;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;80339,27957
4887;249;4;6;1988;2;59;1301;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;34707,26579
4893;249;5;4;1990;2;77;501;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;18020,94988
4897;249;6;4;1988;2;90;1701;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;25060,97625
4901;249;7;4;1993;4;80;3001;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;29605,11161
4905;249;8;4;1989;4;80;701;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;1;1;2;0;2;1;0;1;1;0;17727,21256
4909;249;9;4;1989;3;90;1501;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;1;0;0;30296,09968
4913;25;1;1;1948;2;32;151;1;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;7653,49225
4914;25;10;3;1933;3;90;7501;1;1;0;0;0;0;0;1;2;1;0;0;1;1;0;0;1;0;0;1;0;0;1;0;1;53549,02395
4917;25;2;2;1940;1;28;1001;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;1;0;1;0;1;9362,4825
4919;25;3;2;1961;3;72;2001;1;1;0;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;12462,95655
4921;25;4;2;1941;2;34;881;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;19786,13537
4923;25;5;4;1952;2;35;3001;1;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;7133,096279
4927;25;6;2;1914;1;23;301;1;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;6586,295309
4929;25;7;2;1929;1;21;1001;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;21986,5
4931;25;8;2;1932;1;20;1001;1;1;0;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;23274,19325
4933;250;1;3;1900;2;80;3001;1;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;1;1;0;1;1;0;0;1;0;27360,93875
4936;250;10;4;1960;4;100;1301;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;2;0;0;1;1;1;30441,62782
4940;250;11;2;1991;3;67;2001;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;28715,40125
4942;250;2;4;1900;2;70;2501;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;1;1;0;0;1;0;18752,0753
4946;250;3;4;1980;3;60;4501;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;38404,11775
4950;250;4;3;1970;4;98;3001;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;2;1;0;0;1;0;8498,729281
4953;250;5;4;1911;5;170;2301;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;1;1;0;1;1;0;31813,20439
4957;250;6;3;1955;2;80;3001;1;0;0;1;0;0;0;0;1;1;0;0;1;2;0;0;1;0;0;1;1;0;0;1;0;28613,0672
4960;250;7;4;1870;2;50;2501;1;0;0;1;0;0;0;1;2;1;0;0;1;1;0;0;1;0;0;2;1;0;0;1;0;27413,35852
4964;250;8;3;1950;4;120;1001;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;2;0;1;1;1;0;0;0;1;26635,11841
4967;250;9;1;1815;2;80;3001;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;13735,668
4968;251;1;2;1975;1;36;601;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;8573,2305
4970;251;10;1;1978;1;38;501;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;6263,32975
4971;251;11;2;1975;2;53;701;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;11767,87263
4973;251;2;1;1974;1;32;601;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;7325,486583
4974;251;3;2;1980;2;53;601;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;19763,41842
4976;251;4;3;1980;1;27;501;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;10185,436
4979;251;5;3;1980;2;53;501;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;8931,316634
4982;251;6;3;1910;5;100;2501;1;0;0;1;0;0;0;0;2;1;0;0;2;1;0;0;1;0;0;2;1;0;0;1;0;11716,43241
4985;251;7;1;1988;1;21;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;5314,299833
4986;251;8;1;1977;1;34;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5430,31025
4987;251;9;3;1972;3;60;1501;1;0;0;1;0;0;0;1;1;1;0;0;1;0;1;0;1;0;0;1;0;0;1;1;0;16447,675
4990;252;1;3;1977;2;60;501;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;37513,90122
4993;252;10;2;1975;3;90;801;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;2;1;0;0;0;0;10412,52192
4995;252;11;3;1988;3;90;1001;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;2;1;0;0;1;0;10347,1844
4998;252;2;5;1970;5;80;1201;1;0;0;1;0;0;0;0;1;1;0;0;1;1;1;1;2;0;0;2;1;0;1;0;2;66366,42973
5003;252;3;2;1988;3;100;1601;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;35451,73451
5005;252;4;4;1923;2;20;601;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;11018,99875
5009;252;5;2;1975;3;50;501;1;0;0;1;0;0;0;0;2;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;18809,70534
5011;252;6;2;1945;2;30;501;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;11425,9251
5013;252;7;3;1965;2;30;901;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;23343,2195
5016;252;8;4;1986;4;100;1501;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;36758,43344
5020;252;9;1;1981;3;50;721;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;7666,770194
5021;253;1;4;1970;4;90;951;1;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;2;0;0;1;1;0;28876,30874
5025;253;10;2;1970;4;90;501;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;1;0;0;1;0;19159,49634
5027;253;11;1;1952;1;30;301;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;4951,779854
5028;253;2;1;1960;2;70;401;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1824,851889
5029;253;3;2;1970;5;100;1501;1;0;0;1;0;0;0;0;1;1;1;1;1;1;0;0;1;1;0;1;1;0;1;0;1;29424,91525
5031;253;4;4;1970;4;80;501;1;0;0;1;0;0;0;0;1;1;0;0;1;1;1;0;1;0;0;1;1;0;0;1;0;23170,08537
5035;253;5;3;1990;3;80;501;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;19770,59135
5038;253;6;3;1967;4;80;901;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;28159,0365
5041;253;7;4;1981;5;100;801;1;0;0;1;0;0;0;0;1;1;1;0;1;1;0;1;1;0;0;2;1;0;1;1;0;22653,92896
5045;253;8;3;1970;3;68;501;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;9694,717009
5048;253;9;1;1969;3;68;501;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;3173,22605
5049;254;1;5;1970;4;100;701;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;11771,62973
5054;254;10;2;1987;4;90;301;1;0;0;1;0;0;0;0;2;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;12326,14022
5056;254;11;3;1989;2;60;501;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;1;0;0;0;1;0;21669,89068
5059;254;2;2;1965;2;65;501;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;7751,723858
5061;254;3;4;1996;4;126;501;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;1;0;1;1;0;55158,51743
5065;254;4;3;1989;3;85;851;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;1;0;1;0;0;12255,94427
5068;254;5;4;1989;3;85;801;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;14595,17573
5072;254;6;4;1990;4;120;1301;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;0;23744,46784
5076;254;7;4;1975;2;72;801;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;14403,98391
5080;254;8;3;1995;2;54;801;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;13872,65461
5083;254;9;2;1955;2;30;401;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;0;5540,9205
5085;255;1;3;1960;3;120;3501;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;1;1;1;0;0;0;1;0;42708,18142
5088;255;10;2;1900;3;79;601;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;12272,59718
5090;255;11;1;1955;2;30;51;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1696,450857
5091;255;2;4;1977;4;100;2001;1;0;0;1;0;0;0;0;1;1;0;1;1;0;1;1;1;0;1;1;1;0;1;1;0;36507,15673
5095;255;3;3;1979;3;90;1001;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;18599,8151
5098;255;4;2;1960;3;56;701;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;8410,045425
5100;255;5;2;1930;2;45;601;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;14528,23865
5102;255;7;5;1950;2;30;1501;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;10215,64091
5107;255;8;3;1975;3;60;401;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;18346,62796
5110;255;9;5;1900;3;45;501;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;16836,6525
5115;256;1;4;1940;4;90;5001;1;0;0;1;0;0;0;0;2;1;0;0;2;1;0;0;0;0;0;1;0;0;0;1;0;18786,05916
5119;256;10;5;1900;3;60;3001;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;28087,53035
5124;256;11;4;1973;6;120;3001;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;26978,41796
5128;256;2;4;1985;3;40;1001;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;30532,33415
5132;256;3;3;1987;3;100;201;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;12161,27053
5135;256;4;3;1900;4;70;501;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;4;0;1;0;0;0;1;0;51590,16621
5138;256;5;2;1920;2;80;601;1;0;0;1;0;0;0;0;2;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;13092,63842
5140;256;6;3;1928;3;60;1701;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;30182,63093
5143;256;7;5;1984;3;120;1601;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;27997,53118
5148;256;8;5;1976;6;200;2001;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;2;0;1;0;0;1;1;1;36964,46483
5153;256;9;1;1920;3;70;351;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;9074,437382
5154;257;1;1;1902;2;42;2001;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;8374,30875
5155;257;10;4;1860;2;70;1001;1;0;0;1;0;0;0;0;1;1;0;1;1;1;0;0;1;0;0;1;1;0;0;1;0;44154,83377
5159;257;11;1;1928;2;75;1001;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;8439,200449
5160;257;2;1;1934;1;20;201;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;3098,192625
5161;257;3;2;1902;1;36;501;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;13265,32835
5163;257;4;4;1918;2;40;701;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;12824,75269
5167;257;5;1;1970;3;80;801;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;11549,57609
5168;257;6;5;1880;2;66;1201;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;30012,87797
5173;257;7;1;1880;1;25;1001;1;0;0;1;0;0;0;1;1;1;0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;5932,467939
5174;257;8;4;1900;2;60;4001;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;1;1;1;1;0;1;27818,63925
5178;257;9;2;1966;3;80;1001;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;8447,91725
5180;258;1;4;1898;3;100;1501;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;0;1;0;21343,23711
5184;258;7;5;1900;3;104;401;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;1;0;1;1;0;30723,92009
5189;258;9;4;1979;3;110;801;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;0;1;1;18570,27131
5193;259;1;1;1900;2;60;401;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;6827,99725
5194;259;10;3;1900;3;50;351;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;9660,30475
5197;259;11;2;1900;2;60;801;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;6126,735
5199;259;2;4;1900;2;16;1001;1;0;0;1;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;12093,35996
5203;259;3;3;1985;5;90;801;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;19454,50831
5206;259;4;2;1800;3;80;501;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;11353,01817
5208;259;5;7;1900;1;55;2001;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;1;0;0;0;1;0;9587,148592
5215;259;6;6;1900;2;40;7001;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;0;1;0;14474,142
5221;259;7;3;1985;7;350;2795;1;0;0;1;0;0;0;0;2;2;0;1;2;1;1;1;2;1;1;2;2;1;1;1;3;37152,87428
5224;259;8;7;1911;5;100;8001;1;0;0;1;0;0;0;0;1;1;0;0;1;2;0;0;1;0;0;2;1;0;0;1;0;25798,59567
5231;259;9;1;1992;2;50;301;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;0;0;2;0;9119,601437
5232;26;1;4;1965;2;45;2001;1;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;8901,28375
5236;26;10;3;1953;3;110;4001;1;1;0;0;0;0;0;0;1;1;0;1;1;1;0;0;1;0;0;1;1;0;0;0;0;42054,42725
5239;26;11;2;1950;1;16;2001;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;16266,14083
5241;26;2;5;1932;6;90;2001;1;1;0;0;0;0;0;0;2;1;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;51675,51751
5246;26;3;3;1970;1;40;601;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;1;1;0;19751,1195
5249;26;4;5;1957;2;70;1101;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;2;1;0;0;1;0;24978,7904
5254;26;6;3;1966;2;45;801;1;1;0;0;0;0;0;0;1;1;0;1;1;1;0;0;1;0;0;2;1;0;1;0;1;23972,57583
5257;26;7;5;1950;2;45;1501;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;0;1;1;2524,4925
5262;26;8;2;1933;2;40;1501;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;14690,794
5264;260;1;1;1988;1;37;412;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;9429,375959
5265;260;10;2;1980;2;60;321;1;0;0;1;0;0;0;0;2;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;6643,955995
5267;260;11;3;1977;3;66;6001;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;3;1;0;0;2;0;17923,03758
5270;260;2;5;1969;3;70;401;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;2;1;0;0;1;0;29915,99043
5275;260;3;3;1968;3;55;301;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;1;1;0;19356,14976
5278;260;4;1;1988;1;38;301;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;7284,50126
5279;260;5;4;1980;3;68;1901;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;0;0;1;13732,80135
5283;260;6;1;1962;2;35;801;1;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;7373,687989
5284;260;7;3;1980;3;68;1501;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;2;0;0;0;0;0;39672,00583
5287;260;8;1;1978;2;66;501;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;12932,54328
5288;260;9;5;1977;3;65;1301;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;2;0;0;0;1;0;27325,71823
5293;261;1;1;1968;2;53;501;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;19386,89476
5294;261;10;1;1960;1;29;501;1;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;8338,193539
5295;261;11;3;1968;1;40;401;1;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;16470,96274
5298;261;2;1;1968;2;53;1301;1;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;8601,984759
5299;261;3;4;1987;3;60;1801;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;2;1;0;0;0;1;30256,61809
5303;261;4;1;1986;1;23;651;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;14076,62199
5304;261;5;4;1967;2;65;1001;1;0;0;1;0;0;0;0;2;1;0;0;1;2;0;0;1;0;0;1;0;0;0;1;0;52483,00486
5308;261;6;3;1953;2;32;10001;1;0;0;1;0;0;0;1;1;1;0;0;0;1;1;0;1;0;0;1;0;0;0;1;0;39015,00597
5311;261;7;2;1968;1;32;601;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;8965,910148
5313;261;8;1;1986;3;40;801;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2909,182739
5314;261;9;1;1986;1;29;501;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;6482,613789
5315;262;1;2;1900;3;70;901;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;11798,96729
5317;262;10;3;1901;2;70;1001;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;6254,510706
5320;262;11;3;1970;2;80;601;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;2;1;0;0;0;0;33559,67968
5323;262;2;1;1800;5;70;501;1;0;0;1;0;0;0;0;2;1;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;4290,22977
5324;262;3;4;1987;6;180;1001;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;12526,75742
5328;262;4;4;1930;2;63;601;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;7164,881548
5332;262;5;4;1992;3;40;801;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;1;0;0;0;1;0;17868,36861
5336;262;6;4;1985;6;140;2001;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;23557,82105
5340;262;7;6;1975;8;300;2001;1;0;0;1;0;0;0;0;2;2;0;0;2;2;0;0;2;0;0;4;0;0;0;2;0;40903,26183
5346;262;8;2;1900;4;60;1001;1;0;0;1;0;0;0;0;3;1;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;6501,888921
5348;262;9;3;1900;3;60;1501;1;0;0;1;0;0;0;0;1;1;0;1;1;1;0;0;1;0;1;1;0;0;0;0;0;19117,06977
5351;263;1;2;1971;2;65;301;1;0;0;1;0;0;0;0;2;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;10085,11223
5353;263;10;5;1974;5;100;1501;1;0;0;1;0;0;0;1;2;1;0;0;2;1;0;0;1;0;0;2;0;0;0;1;0;15599,33705
5358;263;11;3;1975;5;100;1001;1;0;0;1;0;0;0;1;2;1;0;0;2;1;0;0;1;0;0;1;1;0;0;1;0;21097,90438
